area,total_deaths,total_cases,continent
Afghanistan,7800,199310,Asia
Albania,3589,332263,Europe
Algeria,6879,270676,Africa
Andorra,155,46227,Europe
Angola,1917,103131,Africa
Anguilla,12,3865,North America
Antigua and Barbuda,146,9098,North America
Argentina,129897,9708420,South America
Armenia,8683,442875,Asia
Aruba,230,42970,North America
Australia,15221,10240631,Oceania
Austria,20754,5144116,Europe
Azerbaijan,9919,821532,Asia
Bahamas,833,37290,North America
Bahrain,1520,680805,Asia
Bangladesh,29368,2025677,Asia
Barbados,560,102580,North America
Belarus,7118,994037,Europe
Belgium,32673,4544505,Europe
Belize,686,68854,North America
Benin,163,27638,Africa
Bermuda,148,18154,North America
Bhutan,21,61969,Asia
Bolivia,22237,1108316,South America
Bonaire Sint Eustatius and Saba,38,11345,North America
Bosnia and Herzegovina,16137,398750,Europe
Botswana,2789,326308,Africa
Brazil,686036,34672524,South America
British Virgin Islands,64,7305,North America
Brunei,225,227756,Asia
Bulgaria,37718,1259769,Europe
Burkina Faso,387,21631,Africa
Burundi,38,50193,Africa
Cambodia,3056,137881,Asia
Cameroon,1935,121652,Africa
Canada,45430,4280161,North America
Cape Verde,410,62374,Africa
Cayman Islands,32,30661,North America
Central African Republic,113,14913,Africa
Chad,193,7583,Africa
Chile,61178,4627923,South America
China,5226,992046,Asia
Colombia,141794,6307372,South America
Comoros,161,8471,Africa
Congo,386,24837,Africa
Cook Islands,1,6389,Oceania
Costa Rica,8970,1117989,North America
Cote d'Ivoire,826,87258,Africa
Croatia,16912,1233260,Europe
Cuba,8530,1111194,North America
Curacao,287,45368,North America
Cyprus,1182,587994,Europe
Czechia,41107,4108715,Europe
Democratic Republic of Congo,1443,92893,Africa
Denmark,7074,3299534,Europe
Djibouti,189,15690,Africa
Dominica,74,15747,North America
Dominican Republic,4384,645952,North America
Ecuador,35899,1005521,South America
Egypt,24797,515645,Africa
El Salvador,4229,201785,North America
Equatorial Guinea,183,17012,Africa
Eritrea,103,10170,Africa
Estonia,2681,601993,Europe
Eswatini,1422,73390,Africa
Ethiopia,7572,493587,Africa
Faeroe Islands,28,34658,Europe
