area,total_deaths,total_cases,new_cases,location,continent
Afghanistan,7807,200626,157,Afghanistan,Asia
Albania,3590,332534,31,Albania,Europe
Algeria,6881,270716,3,Algeria,Africa
Andorra,155,46275,0,Andorra,Europe
Angola,1917,103131,0,Angola,Africa
Anguilla,12,3866,0,Anguilla,North America
Antigua and Barbuda,146,9098,0,Antigua and Barbuda,North America
Argentina,129958,9713594,,Argentina,South America
Armenia,8700,444482,,Armenia,Asia
Aruba,230,44145,,Aruba,North America
Australia,15389,10280150,1319,Australia,Oceania
Austria,20857,5273660,12898,Austria,Europe
Azerbaijan,9931,822278,92,Azerbaijan,Asia
Bahamas,833,37318,0,Bahamas,North America
Bahrain,1521,684229,456,Bahrain,Asia
Bangladesh,29386,2030550,460,Bangladesh,Asia
Barbados,560,102580,0,Barbados,North America
Belarus,7118,994037,0,Belarus,Europe
Belgium,32746,4575519,,Belgium,Europe
Belize,686,68909,25,Belize,North America
Benin,163,27782,,Benin,Africa
Bermuda,148,18220,0,Bermuda,North America
Bhutan,21,62200,,Bhutan,Asia
Bolivia,22237,1108768,66,Bolivia,South America
Bonaire Sint Eustatius and Saba,38,11366,0,Bonaire Sint Eustatius and Saba,North America
Bosnia and Herzegovina,16155,399227,43,Bosnia and Herzegovina,Europe
Botswana,2790,326344,0,Botswana,Africa
Brazil,686963,34731539,7350,Brazil,South America
British Virgin Islands,64,7305,0,British Virgin Islands,North America
Brunei,225,231833,2168,Brunei,Asia
Bulgaria,37764,1267150,909,Bulgaria,Europe
Burkina Faso,387,21631,0,Burkina Faso,Africa
Burundi,38,50289,64,Burundi,Africa
Cambodia,3056,137937,1,Cambodia,Asia
Cameroon,1935,121652,0,Cameroon,Africa
Canada,45662,4306156,3437,Canada,North America
Cape Verde,410,62390,1,Cape Verde,Africa
Cayman Islands,34,30809,,Cayman Islands,North America
Central African Republic,113,14957,0,Central African Republic,Africa
Chad,193,7605,15,Chad,Africa
Chile,61345,4656842,1784,Chile,South America
China,5226,1007872,3474,China,Asia
Colombia,141807,6308087,,Colombia,South America
Comoros,161,8473,0,Comoros,Africa
Congo,386,24837,0,Congo,Africa
Cook Islands,1,6389,0,Cook Islands,Oceania
Costa Rica,8974,1127500,4499,Costa Rica,North America
Cote d'Ivoire,826,87455,17,Cote d'Ivoire,Africa
Croatia,16986,1238556,396,Croatia,Europe
Cuba,8530,1111238,0,Cuba,North America
Curacao,287,45390,0,Curacao,North America
Cyprus,1187,590783,,Cyprus,Europe
Czechia,41311,4134041,2981,Czechia,Europe
Democratic Republic of Congo,1443,92934,0,Democratic Republic of Congo,Africa
Denmark,7151,3313544,1670,Denmark,Europe
Djibouti,189,15690,0,Djibouti,Africa
Dominica,74,15760,0,Dominica,North America
Dominican Republic,4384,646209,0,Dominican Republic,North America
Ecuador,35900,1006070,,Ecuador,South America
Egypt,24797,515645,0,Egypt,Africa
El Salvador,4230,201785,0,El Salvador,North America
Equatorial Guinea,183,17046,6,Equatorial Guinea,Africa
Eritrea,103,10180,0,Eritrea,Africa
Estonia,2713,604552,1205,Estonia,Europe
Eswatini,1422,73436,0,Eswatini,Africa
Ethiopia,7572,493708,10,Ethiopia,Africa
Faeroe Islands,28,34658,0,Faeroe Islands,Europe
Falkland Islands,,1930,0,Falkland Islands,South America
Fiji,878,68245,0,Fiji,Oceania
Finland,6149,1312634,,Finland,Europe
France,155689,36032648,94784,France,Europe
French Polynesia,649,76703,,French Polynesia,Oceania
Gabon,306,48772,59,Gabon,Africa
Gambia,372,12508,0,Gambia,Africa
Georgia,16900,1780691,0,Georgia,Asia
Germany,150919,34257916,136748,Germany,Europe
Ghana,1459,170103,418,Ghana,Africa
Gibraltar,108,20095,0,Gibraltar,Europe
Greece,33313,5026494,51427,Greece,Europe
Greenland,21,11971,0,Greenland,North America
Grenada,237,19536,0,Grenada,North America
Guatemala,19840,1130102,560,Guatemala,North America
Guinea,455,37950,0,Guinea,Africa
Guinea-Bissau,176,8831,0,Guinea-Bissau,Africa
Guyana,1281,71383,0,Guyana,South America
Haiti,857,33756,0,Haiti,North America
Honduras,10996,456664,,Honduras,North America
Hong Kong,10237,1811344,4656,Hong Kong,Asia
Hungary,47576,2107907,,Hungary,Europe
Iceland,213,205963,140,Iceland,Europe
India,528835,44616235,,India,Asia
Indonesia,158235,6448220,2077,Indonesia,Asia
International,15,721,0,International,
Iran,144498,7552812,408,Iran,Asia
Iraq,25356,2460868,,Iraq,Asia
Ireland,7959,1666048,,Ireland,Europe
Isle of Man,116,38008,0,Isle of Man,Europe
Israel,11710,4669740,1098,Israel,Asia
Italy,177650,22896742,65917,Italy,Europe
Jamaica,3320,151931,0,Jamaica,North America
Japan,45667,21593704,13123,Japan,Asia
Jordan,14122,1746997,0,Jordan,Asia
Kazakhstan,19052,1484126,26,Kazakhstan,Asia
Kenya,5678,338518,12,Kenya,Africa
Kiribati,13,3430,0,Kiribati,Oceania
Kosovo,3200,272100,3,Kosovo,Europe
Kuwait,2564,660667,,Kuwait,Asia
Kyrgyzstan,2991,206250,0,Kyrgyzstan,Asia
Laos,758,216027,19,Laos,Asia
Latvia,6019,940131,985,Latvia,Europe
Lebanon,10687,1216919,281,Lebanon,Asia
Lesotho,706,34490,0,Lesotho,Africa
Liberia,294,7985,11,Liberia,Africa
Libya,6437,507010,0,Libya,Africa
Liechtenstein,86,20211,68,Liechtenstein,Europe
Lithuania,9347,1258521,1510,Lithuania,Europe
Luxembourg,1135,295792,861,Luxembourg,Europe
Macao,6,793,0,Macao,Asia
Madagascar,1410,66687,0,Madagascar,Africa
Malawi,2682,88050,3,Malawi,Africa
Malaysia,36406,4857508,1291,Malaysia,Asia
Maldives,308,185125,0,Maldives,Asia
Mali,742,32697,0,Mali,Africa
Malta,806,114910,23,Malta,Europe
Marshall Islands,17,15375,70,Marshall Islands,Oceania
Mauritania,995,62960,40,Mauritania,Africa
Mauritius,1028,263177,,Mauritius,Africa
Mexico,330233,7098525,1261,Mexico,North America
Micronesia (country),51,21673,840,Micronesia (country),Oceania
Moldova,11870,591853,1042,Moldova,Europe
Monaco,63,14764,47,Monaco,Europe
Mongolia,2131,983778,168,Mongolia,Asia
Montenegro,2782,281395,127,Montenegro,Europe
Montserrat,8,1403,0,Montserrat,North America
Morocco,16278,1265115,12,Morocco,Africa
Mozambique,2224,230370,58,Mozambique,Africa
Myanmar,19467,626982,292,Myanmar,Asia
Namibia,4080,169253,0,Namibia,Africa
Nauru,1,4611,0,Nauru,Oceania
Nepal,12018,999946,35,Nepal,Asia
Netherlands,22789,8475771,12076,Netherlands,Europe
New Caledonia,314,74315,0,New Caledonia,Oceania
New Zealand,2055,1800683,,New Zealand,Oceania
Nicaragua,245,15092,0,Nicaragua,North America
Niger,314,9415,4,Niger,Africa
Nigeria,3155,265816,0,Nigeria,Africa
North Korea,6,1,0,North Korea,Asia
North Macedonia,9548,343391,0,North Macedonia,Europe
Norway,4153,1463170,77,Norway,Europe
Oman,4628,398424,0,Oman,Asia
Pakistan,30619,1572778,0,Pakistan,Asia
Palau,6,5481,0,Palau,Oceania
Palestine,5707,702804,0,Palestine,Asia
Panama,8505,988280,,Panama,North America
Papua New Guinea,668,45146,13,Papua New Guinea,Oceania
Paraguay,19595,717039,,Paraguay,South America
Peru,216819,4149079,388,Peru,South America
